pathways,genes
BIOCARTA_41BB_PATHWAY,ATF2 CHUK IFNG IKBKB IL2 IL4 JUN MAP3K1 MAP3K5 MAP4K5 MAPK14 MAPK8 NFKB1 NFKBIA RELA TNFRSF9 TRAF2
BIOCARTA_ACE2_PATHWAY,ACE ACE2 AGT AGTR1 AGTR2 CMA1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 REN
BIOCARTA_ACH_PATHWAY,AKT1 BAD CHRNB1 CHRNG FASLG FOXO3 MUSK PIK3CA PIK3CG PIK3R1 PTK2 PTK2B RAPSN SRC TERT YWHAH
BIOCARTA_ACTINY_PATHWAY,ABI2 ACTA1 ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 ARPC5 NCK1 NCKAP1 NTRK1 PIR PSMA7 RAC1 WASF1 WASF2 WASF3 WASL
BIOCARTA_AGR_PATHWAY,ACTA1 CDC42 CHRM1 CHRNA1 CTTN DAG1 DMD DVL1 EGFR GIT2 ITGA1 ITGB1 JUN LAMA2 LAMA3 LAMA4 MAPK1 MAPK3 MAPK8 MUSK NRG1 NRG2 NRG3 PAK1 PAK2 PAK3 PAK4 PAK6 PAK7 PTK2 PXN RAC1 RAPSN SP1 SRC UTRN
BIOCARTA_AKAP95_PATHWAY,AKAP8 CCNB1 CDK1 DDX5 NCAPD2 PPP1CA PPP2CA PRKACB PRKACG PRKAG1 PRKAR2A PRKAR2B
BIOCARTA_AKT_PATHWAY,AKT1 BAD CASP9 CHUK FASLG FOXO1 FOXO3 FOXO4 GH1 GHR HSP90AA1 IKBKB IKBKG NFKB1 NFKBIA PDPK1 PIK3CA PIK3CG PIK3R1 PPP2CA RELA YWHAH
BIOCARTA_ALK_PATHWAY,ACVR1 APC ATF2 AXIN1 BMP10 BMP2 BMP4 BMP5 BMP7 BMPR1A BMPR2 CHRD CTNNB1 DVL1 FZD1 GATA4 GSK3B HNF1A MAP3K7 MEF2C MYL2 NKX2-5 NOG NPPA NPPB RFC1 SMAD1 SMAD4 SMAD6 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TGFBR3 WNT1
BIOCARTA_AMI_PATHWAY,AHSP COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 F10 F2 F2R F7 FGA FGB FGG PLAT PLG PROC PROS1 SERPINC1 TFPI
BIOCARTA_ARENRF2_PATHWAY,CREB1 FOS FXYD2 JUN KEAP1 MAFF MAFG MAFK MAPK1 MAPK14 MAPK8 PRKCA PRKCB
BIOCARTA_ARF_PATHWAY,ABL1 CDKN2A E2F1 MDM2 MYC PIK3CA PIK3CG PIK3R1 POLR1A POLR1B POLR1C POLR1D RAC1 RB1 TBX2 TP53 TWIST1
BIOCARTA_ASBCELL_PATHWAY,CD28 CD4 CD40 CD40LG CD80 FAS FASLG HLA-DRA IL10 IL2 IL4
BIOCARTA_AT1R_PATHWAY,AGT AGTR1 ATF2 CALM1 CALM3 EGFR ELK1 GNAQ GRB2 HRAS JUN MAP2K1 MAP2K2 MAP2K4 MAP3K1 MAPK1 MAPK3 MAPK8 MEF2A MEF2C MEF2D PAK1 PRKCA PRKCB PTK2 PTK2B RAC1 RAF1 SHC1 SOS1 SRC
BIOCARTA_ATM_PATHWAY,ABL1 ATM BRCA1 CDKN1A CHEK1 CHEK2 GADD45A JUN MAPK8 MDM2 MRE11A NBN NFKB1 NFKBIA RAD50 RAD51 RBBP8 RELA TP53 TP73
BIOCARTA_ATRBRCA_PATHWAY,ATM ATR BRCA1 BRCA2 CHEK1 CHEK2 FANCC FANCD2 FANCE FANCF FANCG HUS1 MRE11A NBN RAD1 RAD17 RAD50 RAD51 RAD9A TP53 TREX1
BIOCARTA_BAD_PATHWAY,ADCY1 AKT1 BAD BAX BCL2 BCL2L1 CSF2RB IGF1 IGF1R IL3 KIT KITLG MAPK1 MAPK3 PIK3CA PIK3CG PIK3R1 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RPS6KA1 YWHAH
BIOCARTA_BARRESTIN_PATHWAY,ADCY1 AP2A1 AP2M1 ARRB1 DNM1 GNAS GNB1 GNGT1 PLCB1 PPARA
BIOCARTA_BARRESTIN_SRC_PATHWAY,ADCY1 ARRB1 DNM1 GNAS GNB1 GNGT1 HCK HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 PLCB1 RAF1 SRC
BIOCARTA_BARR_MAPK_PATHWAY,ADCY1 ARRB1 DNM1 GNAS GNB1 GNGT1 MAP2K1 MAP2K2 MAPK1 MAPK3 PLCB1 RAF1
BIOCARTA_BCELLSURVIVAL_PATHWAY,AKT1 BIRC5 CASP3 CASP7 CCT4 DPF2 FOS ITGA1 ITGB1 JUND MTOR PIK3CA PIK3CG PIK3R1 XIAP ZBTB7A
BIOCARTA_BCR_PATHWAY,BLNK BTK CALM1 CALM3 CD79A CD79B ELK1 FOS GRB2 HRAS JUN LYN MAP2K1 MAP3K1 MAPK14 MAPK3 MAPK8 NFATC1 NFATC2 NFATC3 NFATC4 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB RAC1 RAF1 SHC1 SOS1 SYK VAV1
BIOCARTA_BIOPEPTIDES_PATHWAY,AGT AGTR2 CALM1 CALM3 CAMK2A CAMK2B CAMK2D CAMK2G CDK5 F2 FYN GNA11 GNAI1 GNB1 GNGT1 GRB2 HRAS JAK2 KNG1 MAP2K1 MAP2K2 MAPK1 MAPK14 MAPK3 MAPK8 MAPT MYLK PLCG1 PRKCA PRKCB PTK2B RAF1 SHC1 SOS1 STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6
BIOCARTA_BLYMPHOCYTE_PATHWAY,CD40 CD80 CR1 FCGR2B HLA-DRA ICAM1 ITGAL ITGB2 PTPRC
BIOCARTA_CALCINEURIN_PATHWAY,CALM1 CALM3 CDKN1A GNAQ MARCKS NFATC1 NFATC2 NFATC3 NFATC4 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB SP1 SP3
BIOCARTA_CARDIACEGF_PATHWAY,ADAM12 AGT AGTR1 EDN1 EDNRA EDNRB EGF EGFR FOS HRAS JUN MYC NFKB1 PLCG1 PRKCA PRKCB RELA RHOA
BIOCARTA_CARM1_PATHWAY,CARM1 CREB1 CREBBP EP300 NCOA3 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B RARA RXRA
BIOCARTA_CARM_ER_PATHWAY,BRCA1 CARM1 CCND1 CREBBP EP300 ERCC3 ESR1 GRIP1 GTF2A1 GTF2E1 GTF2F1 HDAC1 HDAC10 HDAC11 HDAC2 HDAC3 HDAC4 HDAC5 HDAC6 HDAC7 HDAC8 HDAC9 MED1 MEF2C NCOR2 NR0B1 NRIP1 PELP1 PHB2 POLR2A PPARGC1A SPEN SRA1 TBP
BIOCARTA_CASPASE_PATHWAY,APAF1 ARHGDIB BIRC2 BIRC3 CASP1 CASP10 CASP2 CASP3 CASP4 CASP6 CASP7 CASP8 CASP9 DFFA DFFB GZMB LMNA LMNB1 LMNB2 PARP1 PRF1 XIAP
BIOCARTA_CBL_PATHWAY,CBL CSF1R EGF EGFR GRB2 MET PDGFRA PRKCA PRKCB SH3GLB1 SH3GLB2 SH3KBP1 SRC
BIOCARTA_CCR3_PATHWAY,CCL11 CCR3 CFL1 GNAQ GNAS GNB1 GNGT1 HRAS LIMK1 MAP2K1 MAPK1 MAPK3 MYL2 NOX1 PIK3C2G PLCB1 PPP1R12B PRKCA PRKCB PTK2 RAF1 RHOA ROCK2
BIOCARTA_CCR5_PATHWAY,CALM1 CALM3 CCL2 CCR5 CXCL12 CXCR4 FOS GNAQ JUN MAPK14 MAPK8 PLCG1 PRKCA PRKCB PTK2B
BIOCARTA_CDC42RAC_PATHWAY,ACTR2 ACTR3 ARPC1A ARPC1B ARPC2 ARPC3 ARPC4 ARPC5 CDC42 PAK1 PDGFRA PIK3CA PIK3R1 RAC1 RHOA WASL
BIOCARTA_CDK5_PATHWAY,CDK5 CDK5R1 EGR1 HRAS MAP2K1 MAP2K2 MAPK1 MAPK3 NGF NGFR RAF1
BIOCARTA_CDMAC_PATHWAY,CUZD1 FOS HRAS JUN MAP2K1 MAPK1 MAPK3 MYC NFKB1 NFKBIA PLCB1 PRKCA PRKCB RAF1 RELA TNF
BIOCARTA_CELLCYCLE_PATHWAY,CCNA1 CCNB1 CCND1 CCND2 CCND3 CCNE1 CCNH CDC25A CDK1 CDK2 CDK4 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D E2F1 RB1 RBL1 TFDP1
BIOCARTA_CERAMIDE_PATHWAY,AIFM1 BAD BAX BCL2 CASP8 FADD MAP2K1 MAP2K4 MAP3K1 MAPK1 MAPK3 MAPK8 NFKB1 NSMAF RAF1 RELA RIPK1 SMPD1 TNFRSF1A TRADD TRAF2
BIOCARTA_CFTR_PATHWAY,ADCY1 ADRB2 CFTR EZR GNAS PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B SLC9A3R1
BIOCARTA_CHEMICAL_PATHWAY,AKT1 APAF1 ATM BAD BAX BCL2 BCL2L1 BID CASP3 CASP6 CASP7 CASP9 EIF2S1 PARP1 PRKCA PRKCB PTK2 PXN STAT1 TLN1 TP53
BIOCARTA_CK1_PATHWAY,CDK5 CDK5R1 CSNK1D DRD1 DRD2 GRM1 PLCB1 PPP1CA PPP1R1B PPP2CA PPP3CA PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B
